iter	Passed	Remaining
862	2162	343
863	2165	340
864	2167	338
865	2170	335
866	2172	333
867	2175	330
868	2177	328
869	2180	325
870	2182	323
871	2185	320
872	2187	318
873	2190	315
874	2192	313
875	2195	310
876	2197	308
877	2200	305
878	2203	303
879	2205	300
880	2207	298
881	2210	295
882	2212	293
883	2215	290
884	2217	288
885	2220	285
886	2222	283
887	2224	280
888	2227	278
889	2229	275
890	2232	273
891	2235	270
892	2237	268
893	2240	265
894	2242	263
895	2245	260
896	2247	258
897	2249	255
898	2252	253
899	2254	250
900	2257	248
901	2259	245
902	2262	242
903	2264	240
904	2267	237
905	2269	235
906	2272	232
907	2274	230
908	2277	227
909	2279	225
910	2282	222
911	2284	220
912	2286	217
913	2289	215
914	2291	212
915	2294	210
916	2296	207
917	2299	205
918	2301	202
919	2304	200
920	2306	197
921	2308	195
922	2311	192
923	2313	190
924	2316	187
925	2318	185
926	2321	182
927	2323	180
928	2326	177
929	2328	175
930	2331	172
931	2333	170
932	2335	167
933	2338	165
934	2340	162
935	2343	160
936	2346	157
937	2348	155
938	2350	152
939	2353	150
940	2355	147
941	2358	145
942	2360	142
943	2363	140
944	2365	137
945	2368	135
946	2370	132
947	2372	130
948	2375	127
949	2378	125
950	2380	122
951	2383	120
952	2385	117
953	2387	115
954	2390	112
955	2393	110
956	2395	107
957	2397	105
958	2400	102
959	2402	100
960	2405	97
961	2407	95
962	2410	92
963	2412	90
964	2415	87
965	2417	85
966	2420	82
967	2422	80
968	2425	77
969	2427	75
970	2430	72
971	2432	70
972	2434	67
973	2437	65
974	2439	62
975	2442	60
976	2444	57
977	2447	55
978	2449	52
979	2452	50
980	2455	47
981	2457	45
982	2459	42
983	2462	40
984	2464	37
985	2466	35
986	2469	32
987	2472	30
988	2474	27
989	2476	25
990	2479	22
991	2481	20
992	2484	17
993	2486	15
994	2489	12
995	2491	10
996	2494	7
997	2496	5
998	2499	2
999	2501	0
